"variable_id","title","description","register_type","register_address","usable_address","divisor","factor","unit","variable_size","rest_writable","minimum_raw","maximum_raw","default_raw","included_in_definition","mqtt_topic"
1229,"Test guide value","","input",746,true,1,1,"","u16",false,0,0,0,false,""
1233,"Temp. lux forces start of hot water demand","","input",747,true,1,1,"","u8",false,0,0,0,false,""
1255,"Wood boiler activated","","input",759,true,1,1,"","u8",false,0,0,0,false,""
1258,"Max fan speed (EB108-F21x0)","","input",762,true,1,1,"rpm","u16",false,0,0,0,false,""
1259,"Min fan speed (EB108)","","input",763,true,1,1,"rpm","u16",false,0,0,0,false,""
1267,"EEV-ssh-error (EB108)","","input",771,true,10,0.1,"°C","s16",false,0,0,0,false,""
1271,"EEV-te-error average open (EB108)","","input",775,true,10,0.1,"°C","s16",false,0,0,0,false,""
1275,"EEV-ssh-error (EVI)(EB108)","","input",779,true,10,0.1,"°C","s16",false,0,0,0,false,""
1279,"EEV-te-error average open (EVI)(EB108)","","input",783,true,10,0.1,"°C","s16",false,0,0,0,false,""
1283,"Max fan speed (EB107)","","input",787,true,1,1,"rpm","u16",false,0,0,0,false,""
1284,"Min fan speed (EB107)","","input",788,true,1,1,"rpm","u16",false,0,0,0,false,""
1292,"EEV-ssh-error (EB107)","","input",796,true,10,0.1,"°C","s16",false,0,0,0,false,""
